products_id,products_model,products_price,products_quantity,products_weight,products_status,products_name,products_description,products_seo_url,products_head_title_tag,products_head_desc_tag,products_head_keywords_tag,categories_name,products_image,products_image_sm_1,products_image_sm_2,products_image_sm_3,products_image_sm_4,products_image_sm_5,products_image_sm_6,color,gemstone_name,grade,cut,shape,clarity_grade,luster,hardness,treatment,origin,size,approx_weight,clarity,metal_material,metal_weight,ring_size,carat_range,size_range,gold_color,watch_brand,watch_model,watch_gender,Unnamed: 42
3925,BD06162006009,499.0000,21,0.01,1,6 Cts twt. Black Diamond Lot size 3-5 mm,"Diamond lots at below wholesale prices from Alpha Imports. These all time popular lots are widely used by jewelers, designers, eBay sellers and hobbyists. Available in various size configurations. Please check the table below for more details about this lot.",,6 Cts twt. Black Diamond Lot size size 3-5 mm,6 Cts twt. Black Diamond Lot size size 3-5 mm,"6 Carats, (5-20 Pointers), Round, Black Diamonds",Diamond Deals and Steals,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396470604-b8d64e1a3e19dbf691873ec7928542aedf49fe9817d0e48d2fa22d8277ee9991.gif,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396470604-b8d64e1a3e19dbf691873ec7928542aedf49fe9817d0e48d2fa22d8277ee9991.gif,,,,,,Black,Black Diamond,AAA,Very Good,Round,,Very Nice,10,Treated,Africa,,6 ct.,Opaque,,,,,3-5 mm,,,,,
3928,BD06162006012,301.0000,18,0.01,1,4 Cts twt. Black Diamond Lot size 4-5 mm,"Diamond lots at below wholesale prices from Alpha Imports. These all time popular lots are widely used by jewelers, designers, eBay sellers and hobbyists. Available in various size configurations. Please check the table below for more details about this lot.",,4 Cts twt. Black Diamond Lot size 4-5 mm,4 Cts twt. Black Diamond Lot size 4-5 mm,"4 Carats, (10-25 Pointers), Round, Black Diamonds",Diamond Deals and Steals,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396470604-b8d64e1a3e19dbf691873ec7928542aedf49fe9817d0e48d2fa22d8277ee9991.gif,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396470604-b8d64e1a3e19dbf691873ec7928542aedf49fe9817d0e48d2fa22d8277ee9991.gif,,,,,,Black,Black Diamond,AAA,Very Good,Round,,Very Nice,10,Treated,Africa,,4 ct.,Opaque,,,,,4-5 mm,,,,,
3932,BD06162006016,701.0000,100,0.01,1,10 Cts twt. Black Diamond Lot size 6.6-9.4 mm (1.0 - 3.0 cts),"Diamond lots at below wholesale prices from Alpha Imports. These all time popular lots are widely used by jewelers, designers, eBay sellers and hobbyists. Available in various size configurations. Please check the table below for more details about this lot.",,10 Cts twt. Black Diamond Lot size 6.6-9.4 mm (1.0 - 3.0 cts),10 Cts twt. Black Diamond Lot size 6.6-9.4 mm (1.0 - 3.0 cts),"10 Carats, (1-3 Carats), Round, Black Diamonds",Diamond Deals and Steals,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396470604-b8d64e1a3e19dbf691873ec7928542aedf49fe9817d0e48d2fa22d8277ee9991.gif,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396470604-b8d64e1a3e19dbf691873ec7928542aedf49fe9817d0e48d2fa22d8277ee9991.gif,,,,,,Black,Black Diamond,AA,Very Good,Round,,Fine,10,Treated,Africa,,10 ct.,Opaque,,,,1.0-3 ct.,6.6-9.4 mm,,,,,
6374,CDR901,149.0000,87,0.01,1,0.50 Carats Black Diamond Ring in 14k Gold,This is a genuine black diamond ring in 14K Gold with approximately a 1/2 carat black diamond. The hottest look in jewelry Black Diamonds get their deep beauty from a special irradiation process. New trend!!,,0.50 Carats Black Diamond Ring in 14k Gold,0.50 Carats Black Diamond Ring in 14k Gold,"0.5, Carats, Black, Diamond, Ring, in, 14k, White, Gold",Engagement Solitaire Rings,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396476698-b7d64c28e3a35463c1750368dd0cb08274e481b6c23f0dcf12f5e90fbc757c61.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396476698-b7d64c28e3a35463c1750368dd0cb08274e481b6c23f0dcf12f5e90fbc757c61.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396477767-3320ccefb6983fdf4e3a8d47bd2f81412e5c31ee984b06cbb252b6b8573e5f6e.jpg,,,,,Black,Diamond,,Brilliant,Round,,,,Irradiated,Africa,,0.50 ct.,Opaque,14K White or Yellow Gold,2 Grams,,,,,,,,
6375,CDR902,174.9900,91,0.01,1,0.75 Carats Black Diamond Ring in 14k Gold,This is a genuine black diamond ring in 14K Gold with approximately a 3/4 carat black diamond. The hottest look in jewelry Black Diamonds get their deep beauty from a special irradiation process. New trend!!,,0.75 Carats Black Diamond Ring in 14k Gold,0.75 Carats Black Diamond Ring in 14k Gold,"0.75, Carats, Black, Diamond, Ring, in, 14k, White, Gold",Engagement Solitaire Rings,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396477767-3320ccefb6983fdf4e3a8d47bd2f81412e5c31ee984b06cbb252b6b8573e5f6e.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396477767-3320ccefb6983fdf4e3a8d47bd2f81412e5c31ee984b06cbb252b6b8573e5f6e.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396476698-b7d64c28e3a35463c1750368dd0cb08274e481b6c23f0dcf12f5e90fbc757c61.jpg,,,,,Black,Diamond,,Brilliant,Round,Opaque,,,Irradiated,Africa,6 mm,0.75 ct.,Opaque,14K White or Yellow Gold,2 Grams,,,,,,,,
6376,CDR903,199.0000,49,0.01,1,1 Carat Black Diamond Ring in 14k Gold,This is a genuine black diamond ring in 14K White Gold with approximately a one carat black diamond. The hottest look in jewelry Black Diamonds get their deep beauty from a special irradiation process. New trend!!,,1 Carats Diamond Ring in 14k White Gold,1 Carats Diamond Ring in 14k White Gold,"1, Carats, Black, Diamond, Ring, in, 14k, White, Gold",Engagement Solitaire Rings,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396476698-b7d64c28e3a35463c1750368dd0cb08274e481b6c23f0dcf12f5e90fbc757c61.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396476698-b7d64c28e3a35463c1750368dd0cb08274e481b6c23f0dcf12f5e90fbc757c61.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396477767-3320ccefb6983fdf4e3a8d47bd2f81412e5c31ee984b06cbb252b6b8573e5f6e.jpg,,,,,Black,Diamond,,Brilliant,Round,Opaque,,,Irradiated,Africa,6.5 mm,1 ct.,Opaque,14K White or Yellow Gold,2 Grams,,,,,,,,
6377,CDR904,249.0000,83,0.01,1,1.50 Carat Black Diamond Ring in 14k Gold,This is a genuine black diamond ring in 14K dualtone gold with approximately a one and half carat black diamond. The hottest look in jewelry Black Diamonds get their deep beauty from a special irradiation process. New trend!!,,1.50 Carat Black Diamond Ring in 14k Gold,1.50 Carat Black Diamond Ring in 14k Gold,"1.50, Carat, Black, Diamond, Ring, in, 14k, Gold",Engagement Solitaire Rings,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396477767-3320ccefb6983fdf4e3a8d47bd2f81412e5c31ee984b06cbb252b6b8573e5f6e.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396477767-3320ccefb6983fdf4e3a8d47bd2f81412e5c31ee984b06cbb252b6b8573e5f6e.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396476698-b7d64c28e3a35463c1750368dd0cb08274e481b6c23f0dcf12f5e90fbc757c61.jpg,,,,,Black,Diamond,,Brilliant,Round,Opaque,,,Irradiated,Africa,7.5 mm,1.50 ct.,Opaque,14K White or Yellow Gold,2 Grams,,,,,,,,
6378,CDR905,299.0000,5,0.01,1,2 Carat Black Diamond Ring in 14k Gold,This is a genuine black diamond ring in 14K gold with approximately a two carats black diamond. The hottest look in jewelry Black Diamonds get their deep beauty from a special irradiation process. New trend!!,,2 Carat Black Diamond Ring in 14k Gold,2 Carat Black Diamond Ring in 14k Gold,"2, Carat, Black, Diamond, Ring, in, 14k, Gold",Engagement Solitaire Rings,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396476698-b7d64c28e3a35463c1750368dd0cb08274e481b6c23f0dcf12f5e90fbc757c61.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396476698-b7d64c28e3a35463c1750368dd0cb08274e481b6c23f0dcf12f5e90fbc757c61.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396477767-3320ccefb6983fdf4e3a8d47bd2f81412e5c31ee984b06cbb252b6b8573e5f6e.jpg,,,,,Black,Diamond,,Brilliant,Round,Opaque,,,Irradiated,Africa,8 mm,2 ct.,Opaque,14K White or Yellow Gold,2 Grams,,,,,,,,
6379,CDR906,324.9900,86,0.01,1,2.50 Carat Black Diamond Ring in 14k Gold,This is a genuine black diamond ring in 14K gold with approximately a two and half carats black diamond. The hottest look in jewelry Black Diamonds get their deep beauty from a special irradiation process. New trend!!,,2.50 Carat Black Diamond Ring in 14k Gold,2.50 Carat Black Diamond Ring in 14k Gold,"2.50, Carat, Black, Diamond, Ring, in, 14k, Gold",Engagement Solitaire Rings,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396477767-3320ccefb6983fdf4e3a8d47bd2f81412e5c31ee984b06cbb252b6b8573e5f6e.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396477767-3320ccefb6983fdf4e3a8d47bd2f81412e5c31ee984b06cbb252b6b8573e5f6e.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396476698-b7d64c28e3a35463c1750368dd0cb08274e481b6c23f0dcf12f5e90fbc757c61.jpg,,,,,Black,Diamond,,Brilliant,Round,,,,Irradiated,Africa,9 mm,2.50 ct.,Opaque,14K White or Yellow Gold,2 Grams,,,,,,,,
6380,BDE101,149.0000,54,0.01,1,0.50 Cts Black Diamond Stud Earrings in 14k White or Yellow Gold,Large round black diamonds are the focal points of these simple yet dramatically elegant stud earrings. The dark luminous diamonds are beautifully complemented by graceful yellow gold settings.,,0.50 Carats Black Diamond Earrings in 14k White or Yellow Gold,0.50 Carats Black Diamond Earrings in 14k White or Yellow Gold,"0.50, Carats, Black, Diamond, Earrings, in, 14k, Gold, White, Yellow",Diamond Stud Earrings,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396479135-142624314ff6234c15d6193851281fcf8defe62624ca8d41f10afcdb060599ea.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396479135-142624314ff6234c15d6193851281fcf8defe62624ca8d41f10afcdb060599ea.jpg,,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396480478-5736d84072aab95a319577cf4d732e9a781910ea33ad7dcd6eaa28fb6b609738.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396481917-f5095e3e91258a74d54996da1cd4e01cd3d5041e5b6d9be838e09d50889014a5.jpg,,,Black,Diamond,Opaque,Brilliant,Round,,,,Irradiated,Africa,4 mm,0.50 ct.,,14K White or Yellow Gold,0.6 Grams,,,,,,,,
6382,BDE102,199.0000,9,0.01,1,1 Ct Black Diamond Stud Earrings in 14k White or Yellow Gold,Large round black diamonds are the focal points of these simple yet dramatically elegant stud earrings. The dark luminous diamonds are beautifully complemented by graceful yellow gold settings.,,1 Carat Black Diamond Earrings in 14k White or Yellow Gold,1 Carat Black Diamond Earrings in 14k White or Yellow Gold,"1, Carat, Black, Diamond, Earrings, in, 14k, Gold, White, Yellow",Diamond Stud Earrings,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396480478-5736d84072aab95a319577cf4d732e9a781910ea33ad7dcd6eaa28fb6b609738.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396480478-5736d84072aab95a319577cf4d732e9a781910ea33ad7dcd6eaa28fb6b609738.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396481917-f5095e3e91258a74d54996da1cd4e01cd3d5041e5b6d9be838e09d50889014a5.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396479135-142624314ff6234c15d6193851281fcf8defe62624ca8d41f10afcdb060599ea.jpg,,,,Black,Diamond,Opaque,Brilliant,Round,,,,Irradiated,Africa,5 mm,1 ct.,,14K White or Yellow Gold,1 Grams,,,,,,,,
6384,BDE103,299.0000,14,0.01,1,2 Cts Black Diamond Stud Earrings in 14k Gold,Large round black diamonds are the focal points of these simple yet dramatically elegant stud earrings. The dark luminous diamonds are beautifully complemented by graceful yellow gold settings.,,2 Carats Black Diamond Earrings in 14k Gold,2 Carats Black Diamond Earrings in 14k Gold,"2, Carats, Black, White, Diamond, Earrings, in, 14k, Gold",Diamond Stud Earrings,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396479135-142624314ff6234c15d6193851281fcf8defe62624ca8d41f10afcdb060599ea.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396479135-142624314ff6234c15d6193851281fcf8defe62624ca8d41f10afcdb060599ea.jpg,,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396480478-5736d84072aab95a319577cf4d732e9a781910ea33ad7dcd6eaa28fb6b609738.jpg,https://pub-f1751cc6619d4c769aceeaffe6043848.r2.dev/products/1786396481917-f5095e3e91258a74d54996da1cd4e01cd3d5041e5b6d9be838e09d50889014a5.jpg,,,Black,Diamond,Opaque,Brilliant,Round,,,,Irradiated,Africa,6.5 mm,2 ct.,,14K Yellow Gold,1.5 Grams,,,,,,,,
