product_id,model,name,price,msrp,quantity,weight,status,manufacturer_id,min_order,max_order,qty_blocks,make_an_offer,parent_product_id,category_ids,imageurl,matched_image_path,image_matched,description,seo.title,seo.description,seo.keywords,attributes.gemstoneName,attributes.cutType,attributes.color,attributes.shape,attributes.luster,attributes.hardness,attributes.treatment,attributes.origin,attributes.grade,attributes.size,attributes.caratWeight,additional_attributes.extra_field_6,additional_attributes.extra_field_13,additional_attributes.extra_field_39,additional_attributes.extra_field_22,additional_attributes.extra_field_15,additional_attributes.extra_field_38,additional_attributes.extra_field_66,attributes.clarity,additional_attributes.extra_field_18,additional_attributes.extra_field_25,additional_attributes.extra_field_29,additional_attributes.extra_field_27,additional_attributes.extra_field_32,additional_attributes.extra_field_16,additional_attributes.extra_field_19,additional_attributes.extra_field_41,additional_attributes.extra_field_21,additional_attributes.extra_field_51,additional_attributes.extra_field_17,additional_attributes.extra_field_26,additional_attributes.extra_field_24,additional_attributes.extra_field_30,additional_attributes.extra_field_37,additional_attributes.extra_field_24067,additional_attributes.extra_field_24069,additional_attributes.extra_field_24070,additional_attributes.extra_field_24071,additional_attributes.extra_field_24073,additional_attributes.extra_field_24074,additional_attributes.extra_field_24075,additional_attributes.extra_field_24076,additional_attributes.extra_field_24077,additional_attributes.extra_field_24084,additional_attributes.extra_field_24085,additional_attributes.extra_field_24086,additional_attributes.extra_field_24087,additional_attributes.extra_field_24088,additional_attributes.extra_field_24089,additional_attributes.extra_field_24090,additional_attributes.extra_field_24091,additional_attributes.extra_field_24092,additional_attributes.extra_field_24093,additional_attributes.extra_field_24094,additional_attributes.extra_field_24095,additional_attributes.extra_field_24097,additional_attributes.extra_field_24103,additional_attributes.extra_field_24106,additional_attributes.extra_field_24108,additional_attributes.extra_field_24110,additional_attributes.extra_field_24111,additional_attributes.extra_field_24112,additional_attributes.extra_field_24113,additional_attributes.extra_field_24114,additional_attributes.extra_field_24115,additional_attributes.extra_field_24116,additional_attributes.extra_field_24117,additional_attributes.extra_field_24118,additional_attributes.extra_field_24119,additional_attributes.extra_field_24120,additional_attributes.extra_field_24121,additional_attributes.extra_field_24122,additional_attributes.extra_field_24123,additional_attributes.extra_field_24124,additional_attributes.extra_field_24125,additional_attributes.extra_field_24126,additional_attributes.extra_field_24127,additional_attributes.extra_field_24128,additional_attributes.extra_field_24129,additional_attributes.extra_field_24130,additional_attributes.extra_field_24132,additional_attributes.extra_field_24133,additional_attributes.extra_field_24134,additional_attributes.extra_field_24135,additional_attributes.extra_field_24136,additional_attributes.extra_field_24137,additional_attributes.extra_field_24138,additional_attributes.extra_field_24139,additional_attributes.extra_field_24142,additional_attributes.extra_field_24143,additional_attributes.extra_field_24145,additional_attributes.extra_field_24146,additional_attributes.extra_field_24149,additional_attributes.extra_field_24150,additional_attributes.extra_field_24151,additional_attributes.extra_field_25313,additional_attributes.extra_field_25314,additional_attributes.extra_field_25315,additional_attributes.extra_field_25316,additional_attributes.extra_field_25317,additional_attributes.extra_field_28,additional_attributes.extra_field_45,additional_attributes.extra_field_23,additional_attributes.extra_field_55,additional_attributes.extra_field_60,additional_attributes.extra_field_31,additional_attributes.extra_field_56,additional_attributes.extra_field_20,seo.product_url,additional_attributes.extra_field_59,additional_attributes.extra_field_33,additional_attributes.extra_field_54,additional_attributes.extra_field_36,additional_attributes.extra_field_67,additional_attributes.extra_field_0,additional_attributes.extra_field_22821,additional_attributes.extra_field_79,additional_attributes.extra_field_96,additional_attributes.extra_field_93,additional_attributes.extra_field_89,additional_attributes.extra_field_90,additional_attributes.extra_field_78,additional_attributes.extra_field_99,additional_attributes.extra_field_77,additional_attributes.extra_field_74,additional_attributes.extra_field_73,additional_attributes.extra_field_72,additional_attributes.extra_field_98,additional_attributes.extra_field_82,additional_attributes.extra_field_85,additional_attributes.extra_field_100,additional_attributes.extra_field_101,additional_attributes.extra_field_81,additional_attributes.extra_field_83,additional_attributes.extra_field_86,additional_attributes.extra_field_87,additional_attributes.extra_field_91,additional_attributes.extra_field_95,additional_attributes.extra_field_102,additional_attributes.extra_field_103,additional_attributes.extra_field_75,additional_attributes.extra_field_80,additional_attributes.extra_field_84,additional_attributes.extra_field_70,additional_attributes.extra_field_40,category_id,category,subcategory,subcategory_2,category_path,category_ids_resolved,category_paths_all
53,v1,Gift Voucher for 25$,25.0,0.0,97,0.01,True,10,1,0.0,1,False,0,"[""25""]",gift/giftcert-25-sm.gif,product-images-migration/gift/giftcert-25-sm.gif,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Vouchers,,,Vouchers,25,Vouchers
54,v2,Gift Voucher for 50$,50.0,0.0,98,0.01,True,10,1,0.0,1,False,0,"[""25""]",gift/giftcert-50-sm.gif,product-images-migration/gift/giftcert-50-sm.gif,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Vouchers,,,Vouchers,25,Vouchers
55,v200,Gift Voucher for $200,200.0,0.0,99,0.01,True,10,1,0.0,1,False,0,"[""25""]",gift/giftcert-200-sm.gif,product-images-migration/gift/giftcert-200-sm.gif,True,Gift Voucher for $200 Great as a gift only from Alpha Imports,Gift Voucher for $200,Gift Voucher for $200,"Gift, Voucher, for, $200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Vouchers,,,Vouchers,25,Vouchers
56,V150,Gift Voucher for $150,150.0,0.0,100,0.01,True,10,1,0.0,1,False,0,"[""25""]",gift/giftcert-150-sm.gif,product-images-migration/gift/giftcert-150-sm.gif,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Vouchers,,,Vouchers,25,Vouchers
57,v1,Gift Voucher for 125$,125.0,0.0,100,0.01,True,10,1,0.0,1,False,0,"[""25""]",gift/giftcert-125-sm.gif,product-images-migration/gift/giftcert-125-sm.gif,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Vouchers,,,Vouchers,25,Vouchers
58,v1,Gift Voucher for 100$,100.0,0.0,99,0.01,True,10,1,0.0,1,False,0,"[""25""]",gift/giftcert-100-sm.gif,product-images-migration/gift/giftcert-100-sm.gif,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Vouchers,,,Vouchers,25,Vouchers
59,v1,Gift Voucher for 75$,75.0,0.0,100,0.01,True,10,1,0.0,1,False,0,"[""25""]",gift/giftcert-75-sm.gif,product-images-migration/gift/giftcert-75-sm.gif,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Vouchers,,,Vouchers,25,Vouchers
60,v1,Gift Voucher for 175$,175.0,0.0,100,0.01,True,10,1,0.0,1,False,0,"[""25""]",gift/giftcert-175-sm.gif,product-images-migration/gift/giftcert-175-sm.gif,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Vouchers,,,Vouchers,25,Vouchers
118,G1033054951,10 ct. Oval Amethyst Cabochon Lot Size 14x10 mm,25.0,75.0,10,0.01,True,0,1,0.0,1,False,0,"[""198""]",stockimg/am04l.jpg,product-images-migration/stockimg/100/am04l.jpg,True,Originated from the mines in Africa Fine Luster VS clarity Superfine quality Oval shape Violet/Purple color Amethyst cabochons in size:14x10 mm. (Lot only please!!).,10 ct. Oval Amethyst Cabochon Lot Size 14x10 mm,10 ct. Oval Amethyst Cabochon Lot Size 14x10 mm,"10 ct., Oval, Amethyst, Cabochon, Lot Size, 14x10 mm, Super Fine, Violet, Purple",Amethyst,Cabochon,Violet,Oval,Fine,7,Heat Treated,Africa,Super Fine,14x10 mm,10 ct.,VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,Semi Precious,Semi Precious Deals And Steals,,Semi Precious > Semi Precious Deals And Steals,198,Semi Precious > Semi Precious Deals And Steals
119,G1033071501,32.32 ct. Oval Amethyst Cabochon Lot Size 14x10 mm,80.8,200.0,2,0.01,True,0,1,0.0,1,False,0,"[""198""]",stockimg/am04l.jpg,product-images-migration/stockimg/100/am04l.jpg,True,Originated from the mines in Africa Fine Luster VS clarity Superfine quality Oval shape Violet/Purple color Amethyst cabochons in size:14x10 mm. (Lot only please!!).,32.32 ct. Oval Amethyst Cabochon Lot Size 14x10 mm,32.32 ct. Oval Amethyst Cabochon Lot Size 14x10 mm,"32.32 ct., Oval, Amethyst, Cabochon, Lot Size, 14x10 mm, Super Fine, Violet, Purple",Amethyst,Cabochon,Violet,Oval,Fine,7,Heat Treated,Africa,Super Fine,14x10 mm,32.32 ct.,VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,Semi Precious,Semi Precious Deals And Steals,,Semi Precious > Semi Precious Deals And Steals,198,Semi Precious > Semi Precious Deals And Steals
